SalesOrderID,OrderDate,ShipDate,CustomerID
1,7/13/2018,7/16/2018,18826
2,7/13/2018,7/15/2018,18673
3,7/13/2018,7/18/2018,18735
4,7/13/2018,7/19/2018,18995
5,7/13/2018,7/19/2018,18566
6,7/13/2018,7/15/2018,18899
7,7/13/2018,7/14/2018,18581
8,7/13/2018,7/14/2018,19053
9,7/13/2018,7/14/2018,18975
10,7/13/2018,7/14/2018,18615
11,7/13/2018,7/19/2018,18748
12,7/13/2018,7/15/2018,18567
13,7/13/2018,7/22/2018,18891
14,7/13/2018,7/16/2018,19068
15,7/13/2018,7/14/2018,18845
16,7/13/2018,7/16/2018,18597
17,7/13/2018,7/16/2018,18828
18,7/13/2018,7/14/2018,18812
19,7/13/2018,7/15/2018,18825
20,7/13/2018,7/22/2018,18890
21,7/13/2018,7/16/2018,18762
22,7/13/2018,7/22/2018,18490
23,7/13/2018,7/14/2018,18662
24,7/13/2018,7/14/2018,18760
25,7/13/2018,7/15/2018,18498
26,7/13/2018,7/14/2018,18913
27,7/13/2018,7/16/2018,19085
28,7/13/2018,7/14/2018,18607
29,7/13/2018,7/16/2018,18611
30,7/13/2018,7/16/2018,18719
31,7/13/2018,7/15/2018,18647
32,7/13/2018,7/14/2018,18534
33,7/13/2018,7/14/2018,18571
34,7/13/2018,7/24/2018,18993
35,7/13/2018,7/15/2018,18492
36,7/13/2018,7/15/2018,18550
37,7/13/2018,7/18/2018,18959
38,7/13/2018,7/17/2018,18850
39,7/13/2018,7/15/2018,18012
40,7/13/2018,7/15/2018,17390
41,7/13/2018,7/16/2018,14864
42,7/13/2018,7/18/2018,14501
43,7/13/2018,7/16/2018,11003
44,7/14/2018,7/15/2018,16646
45,7/14/2018,7/23/2018,16624
46,7/14/2018,7/25/2018,11005
47,7/14/2018,7/17/2018,11011
48,7/15/2018,7/16/2018,16622
49,7/15/2018,7/16/2018,16617
50,7/15/2018,7/16/2018,15567
51,7/15/2018,7/18/2018,16351
52,7/15/2018,7/16/2018,16517
53,7/16/2018,7/19/2018,16607
54,7/16/2018,7/17/2018,13513
55,7/17/2018,7/19/2018,16602
56,7/17/2018,7/18/2018,13591
57,7/17/2018,7/20/2018,16483
58,7/17/2018,7/19/2018,16529
59,7/17/2018,7/18/2018,14250
60,7/18/2018,7/27/2018,16669
61,7/18/2018,7/20/2018,16613
62,7/18/2018,7/21/2018,13264
63,7/18/2018,7/21/2018,13590
64,7/19/2018,7/30/2018,13581
65,7/19/2018,7/21/2018,14520
66,7/19/2018,7/25/2018,16520
67,7/20/2018,7/21/2018,13258
68,7/20/2018,7/22/2018,14560
69,7/20/2018,7/23/2018,16607
70,7/21/2018,7/23/2018,16667
71,7/21/2018,7/22/2018,11238
72,7/21/2018,7/22/2018,14862
73,7/21/2018,7/24/2018,16629
74,7/21/2018,7/23/2018,11025
75,7/21/2018,7/24/2018,16578
76,7/22/2018,7/23/2018,16605
77,7/22/2018,7/25/2018,16522
78,7/22/2018,7/24/2018,11002
79,7/23/2018,7/24/2018,13261
80,7/23/2018,7/25/2018,11606
81,7/23/2018,7/31/2018,13563
82,7/23/2018,8/2/2018,16527
83,7/24/2018,7/26/2018,16672
84,7/24/2018,7/25/2018,13576
85,7/24/2018,8/4/2018,11007
86,7/24/2018,7/29/2018,16631
